model_name: vit-age-classifier
load_time(ms): 392.58
image_size: 224x224
batch_size,first_inference(ms),inference_avg(ms)
1,1703.35,20.37
2,1715.78,27.88
3,1707.67,34.57
4,1707.83,42.4
5,1737.07,49.44
6,1730.22,56.69
7,1741.3,64.89
8,1753.79,72.77
9,1735.03,79.04
10,1759.99,86.74
11,1755.3,94.64
12,1772.94,101.84
13,1767.97,108.36
14,1789.12,116.48
15,1784.24,123.12
16,1782.08,130.5
17,1799.94,138.81
18,1798.39,145.45
19,1798.17,152.51
20,1807.22,160.59
21,1827.0,167.62
22,1819.5,174.77
23,1838.02,182.4
24,1838.93,188.73
25,1852.0,196.55
26,1846.35,203.58
27,1872.54,211.0
28,1862.58,218.09
29,1911.27,225.46
30,1884.39,232.98
31,1892.43,239.8
32,1907.36,247.88
