model_name: gender-classification-2 - gpu
load_time(ms): 4325.95
image_size: 224x224
batch_size,first_inference(ms),inference_avg(ms)
1,1838.17,18.13
2,1873.42,25.29
3,1906.05,31.9
4,1944.6,38.56
5,1930.98,45.93
6,1840.97,52.2
7,1878.48,59.48
8,1929.62,66.33
9,1997.01,72.41
10,1955.15,77.83
11,1911.33,84.76
12,1899.43,91.49
13,1909.33,96.92
14,1931.72,103.21
15,1945.73,109.75
16,1911.34,116.2
17,1923.9,122.66
18,1928.25,127.93
19,1911.22,134.1
20,1922.8,140.98
21,1979.15,147.52
22,2005.97,153.37
23,1854.67,160.19
24,1910.65,166.21
25,2013.66,172.31
26,2048.49,178.65
27,2026.12,185.05
28,2014.09,192.3
29,1973.59,197.78
30,1962.86,205.4
31,2005.63,214.33
32,2021.09,216.57
