model_name: yolos-tiny - gpu
load_time(ms): 3973.22
image_size: 910x512
batch_size,first_inference(ms),inference_avg(ms)
1,1753.24,20.79
2,1772.38,31.74
3,1757.48,41.77
4,1759.38,52.95
5,1823.06,64.56
6,1782.96,74.59
7,1782.68,85.36
8,1780.47,98.31
9,1807.56,110.15
10,1904.52,121.61
11,1833.31,134.46
12,1850.29,144.0
13,1842.87,155.85
14,1839.88,164.88
15,1883.11,174.54
16,1861.07,187.93
17,1880.83,199.25
18,1951.76,208.93
19,1925.19,222.16
20,1896.38,233.63
21,1998.63,243.17
22,1931.9,254.7
23,1932.75,265.82
24,1938.05,276.59
25,1942.95,290.21
26,1987.26,300.63
27,1963.95,313.82
28,1976.3,324.68
29,2005.0,336.42
30,2033.78,343.68
31,2007.06,355.22
32,2016.58,369.48
